No.,Roca,Localidad,Corte,Lámina delgada,País,Foto
44,Micro diorita  porfídica de hornblenda,Nr. Dolgelly,Sí,,Gales,micro_diorita_porfidica.jpg
45,Andesita de hornblenda,"Glen Coe, Argyllshire",No,No,Escocia,andesita_de_hornblenda.jpg
46,Andesita,Arenig Fawr,No,No,Norte de Gales,andesita.jpg
47,Cuarzo monzonita,"Charnwood Forest, N. Leicestershire",Sí,,Inglaterra,cuarzo_monzonita.jpg
48,Gabro de cuarzo,"Carrock Fell, Cumberland.",Sí,,Inglaterra,gabro_de_cuarzo.jpg
49,Gabro de olivino,"Lizard, Cornwall",No,No,Inglaterra,gabro_de_olivino.jpg
50,Norita,"Huntley, Aberdeenshire",No,No,Escocia,norita.jpg
51,"Norita (Roca del país)",Aberdeenshire,No,No,Escocia,Sin muestra
52,Eucrita,Ardnamurchan,No,No,Escocia,eucrita.jpg
53,Troctolita,Aberdeenshire,No,No,Escocia,troctolita.jpg
54,Troctolita,"Lizard, Cornwall",No,No,Inglaterra,troctolita2.jpg
55,Micro Gabro,"Whin-Sill Northumberland",,,Inglaterra,Sin muestra
56,"Minverite “Minverita”","St. Minvers, Cornwall.",No,No,Inglaterra,minverite_minverita.jpg
57,Diabasa,"St. Germans, Cornwall.",No,No,Inglaterra,diabasa.jpg
58,"Dolerita ofítica gruesa, Micro-gabro","Madryn, Caernarvonshire.",No,No,Gales,dolerita_ofitica.jpg
59,Basalto porfirítico de bytownita,"Eycott Hill, Cumberland.",No,No,Inglaterra,basalto_porfiritico.jpg
60,Basalto de olivino,"Arthurs Seat, Edimburgo",,,Escocia,Sin muestra
61,Basalto de nefelina,"Chesters Quarry, Haddington",,,Escocia,Sin muestra
62,Basalto,"Butterton, Staffordshire",No,No,Inglaterra,basalto.jpg
63,Essexita,"Crawford John, Lanarkshire",No,No,Escocia,essexita.jpg
64,Basalto Teschenita,"Lugar, Ayrshire",No,No,Escocia,basalto_teschenita.jpg
65,Teschenita,"Lugar, Ayrshire",No,No,Escocia,teschenita.jpg
66,Teschenita,Salisbury Crags,No,No,Escocia,teschenita2.jpg
67,Theralita,"Lugar, Ayrshire",No,No,Escocia,theralita.jpg
68,Lugarita,"Lugar, Ayrshire",No,No,Escocia,lugarita.jpg
69,Borolanita,"Borolan, Sutherlandshire",No,No,Escocia,borolanita.jpg
70,Leucitita,Capo-di-Bove,,,Italia,Sin muestra
71,Basanita,"Calton Hill, Derbyshire",No,No,Inglaterra,basanita.jpg
72,Kentalenita,"Kentallen, Aryshire",No,No,Escocia,kentalenita.jpg
73,Mugearita,"Arthurs Seat, Edimburgo",No,No,Escocia,mugearita.jpg
74,"Espilita Lava almohadillada",Botallack Head,No,No,Inglaterra,espilita_lava.jpg
75,Piroxenita dialaga,Ardnamurchan,No,No,Oeste de Escocia,piroxenita_dialaga.jpg
76,Eclogita,"Glenelg, Inverness-shire.",Sí,,Escocia,eclogita.jpg
77,Picrita,"Loch Assynt, Sutherlandshire",No,No,Escocia,picrita.jpg
78,Picrita,"Broadlands, Aberdeenshire",No,No,Escocia,picrita2.jpg
79,Picrita de hornblenda,"Ty-Groes, Anglesey",Sí,,Gales,picrita_de_hornblenda.jpg
80,Dunita-olivinita,N. Carolina,Sí,,E.U.A,dunita_olivinita.jpg
81,Peridotita,Isla de Raasay,No,No,Escocia,peridotita.jpg
82,"Peridotita (Kimberlita)",Kimberley,Sí,,Sudáfrica,peridotita_kimberlita.jpg
83,Kimberlita,Kimberley,Sí,,Sudáfrica,kimberlita.jpg
84,Serpentina bastita,"Lizard, Cornwall.",No,No,Inglaterra,serpentina_bastita.jpg
85,Dunita de serpentina,"Lizard, Cornwall",No,No,Inglaterra,dunita_de_serpentina.jpg
86,Vogesita,"Loch Assynt, Sutherlands",No,No,Escocia,vogesita.jpg
87,Camptonita,"Maddox’s Hill Shropshire",No,No,Inglaterra,camptonita.jpg
88,Monchiquita,"Stenton, Haddington",No,No,Escocia,monchiquita.jpg
90,Aglomerado de pizarra,N. Wales,No,No,Gales,aglomerado_de_pizarra.jpg
91,Aglomerado felsítico,"Charnwood Forest, N. Leicestershire",No,No,Inglaterra,aglomerado_felsitico.jpg
92,Brecha volcánica,"Meldon, Devon",No,No,Inglaterra,brecha_volcanica.jpg
93,Toba con lapilli,"Ashford, Derbyshire",No,No,Inglaterra,toba_con_lapilli.jpg
94,Toba,"Melvon, Devon",No,No,Inglaterra,toba.jpg
95,Ceniza volcánica,Snowdon,No,No,Gales,ceniza_volcanica.jpg
96,Toba de cristales,Snowdon,No,No,Gales,toba_de_cristales.jpg
97,Ceniza volcánica,"Borrowdale, Cumberland",No,No,Inglaterra,ceniza_volcanica2.jpg
98,Toba palagonita,Sicilia,No,No,Italia,Sin muestra
99,Pumita,Isla Lipari,No,No,Italia,pumita.jpg
100,Lava volcánica moderna,"Monte Etna, Sicilia",No,No,Italia,lava_volcanica_moderna.jpg
